City,Date,Temperature
Białystok,1-1-2021,-0.4
Białystok,1-2-2021,0.2
Białystok,1-3-2021,0.2
Białystok,1-4-2021,1.8
Białystok,1-5-2021,1.8
Białystok,1-6-2021,0.8
Białystok,1-7-2021,1.8
Białystok,1-8-2021,0.3
Białystok,1-9-2021,-1.7
Białystok,1-10-2021,-2.1
Białystok,1-11-2021,-1.1
Białystok,1-12-2021,-1.6
Białystok,1-13-2021,-1.1
Białystok,1-14-2021,-5.3
Białystok,1-15-2021,-13.1
Białystok,1-16-2021,-11
Białystok,1-17-2021,-19
Białystok,1-18-2021,-15.1
Białystok,1-19-2021,-11.4
Białystok,1-20-2021,-0.7
Białystok,1-21-2021,1.4
Białystok,1-22-2021,2
Białystok,1-23-2021,6.4
Białystok,1-24-2021,1.8
Białystok,1-25-2021,-0.1
Białystok,1-26-2021,0
Białystok,1-27-2021,-0.6
Białystok,1-28-2021,-2.8
Białystok,1-29-2021,-9.5
Białystok,1-30-2021,-2.1
Białystok,1-31-2021,-5.3
Gdańsk,1-1-2021,-1.5
Gdańsk,1-2-2021,-0.4
Gdańsk,1-3-2021,0.7
Gdańsk,1-4-2021,1.2
Gdańsk,1-5-2021,0.9
Gdańsk,1-6-2021,0.9
Gdańsk,1-7-2021,0.1
Gdańsk,1-8-2021,0.7
Gdańsk,1-9-2021,-0.4
Gdańsk,1-10-2021,0.6
Gdańsk,1-11-2021,0.6
Gdańsk,1-12-2021,0.2
Gdańsk,1-13-2021,0.2
Gdańsk,1-14-2021,0.7
Gdańsk,1-15-2021,-4.4
Gdańsk,1-16-2021,-3.1
Gdańsk,1-17-2021,-16.1
Gdańsk,1-18-2021,-11.6
Gdańsk,1-19-2021,-4.1
Gdańsk,1-20-2021,1.4
Gdańsk,1-21-2021,3.7
Gdańsk,1-22-2021,4.8
Gdańsk,1-23-2021,3.9
Gdańsk,1-24-2021,2.4
Gdańsk,1-25-2021,0.8
Gdańsk,1-26-2021,0.9
Gdańsk,1-27-2021,-1.1
